Function name,Start line,End line,Function type,Primary responsibility,Module or logical ownership,Functions called,Functions calling it (determinable),Dependencies,External services used,Sheets accessed,Configuration objects referenced,Dashboard components referenced,Read operations,Write operations,Destructive operations,Trigger usage,Error handling,Logging,Complexity assessment
applyTemplateBaseFormatting_,4938,4985,Formatter; Internal/private,Implement apply template base formatting,Template governance,applyColumnWidths_; applyDataRows_; applyGovernedTextAndNumberFormats_; applyHeaderRow_; applyHiddenColumnSettings_; applyTemplateRowHeights_; applyTitleRows_; ensureTemplateFilter_; getGlobalBorderStyle_; getThemeColorsFromBase_; markFrameworkStep_; toWrapStrategy_,applyDashboardTemplateFormattingToActiveReportSheet_; buildTemplateFromDashboard_,applyColumnWidths_; applyDataRows_; applyGovernedTextAndNumberFormats_; applyHeaderRow_; applyHiddenColumnSettings_; applyTemplateRowHeights_; applyTitleRows_; ensureTemplateFilter_; getGlobalBorderStyle_; getThemeColorsFromBase_; markFrameworkStep_; toWrapStrategy_,None detected,None detected,None detected,None detected,getRange(),setBorder(); setFontColor(); setFontSize(); setHorizontalAlignment(); setVerticalAlignment(); setWrapStrategy(),None detected,None detected,None explicit,markFrameworkStep_,"Low (LOC 48, branches 1)"
ensureTitleRowConfig_,4987,4998,Configuration; Internal/private,Implement ensure title row config,Shared framework utilities,normalizeTitleTargetCell_; parseTitleRowConfigRow_,applyTitleRows_,RFF_DEFAULTS; normalizeTitleTargetCell_; parseTitleRowConfigRow_,None detected,None detected,RFF_DEFAULTS,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 12, branches 1)"
applyTitleRows_,5000,5051,Internal/private,Implement apply title rows,Shared framework utilities,ensureTitleRowConfig_; getThemeFillForTitleRow_; getTitleRowConfigForSheet_; logBestEffortWarning_; toWrapStrategy_,applyTemplateBaseFormatting_; writeRawDataInPlaceTitleRowsAndAddedColumns_,ensureTitleRowConfig_; getThemeFillForTitleRow_; getTitleRowConfigForSheet_; logBestEffortWarning_; toWrapStrategy_,SpreadsheetApp,").setNumberFormat(globals.defaultDateFormat);
  sheet.getRange(; );
  sheet.getRange(",None detected,None detected,getRange(),setBackground(); setFontSize(); setFontWeight(); setHorizontalAlignment(); setNumberFormat(); setRowHeight(); setValue(); setVerticalAlignment(); setWrapStrategy(),None detected,None detected,try/catch,logBestEffortWarning_,"Low (LOC 52, branches 6)"
rowColToA1_,5053,5062,Internal/private; Utility,Implement row col to a1,Shared framework utilities,None detected,applyGovernedTextAndNumberFormats_; applyHeaderRow_; createIndexSheet; highlightFormatDashboardChangesFromChangelog_; writeDashboardDefaultsFast_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 10, branches 1)"
applyHeaderRow_,5064,5103,Internal/private,Implement apply header row,Header/schema utilities,getThemeFillForTitleRow_; getTitleRowConfigForSheet_; logBestEffortWarning_; rowColToA1_; toWrapStrategy_,applyTemplateBaseFormatting_; writeRawDataInPlaceTitleRowsAndAddedColumns_,getThemeFillForTitleRow_; getTitleRowConfigForSheet_; logBestEffortWarning_; rowColToA1_; toWrapStrategy_,None detected,None detected,None detected,None detected,getRange(),setBackground(); setFontColor(); setFontSize(); setFontWeight(); setHorizontalAlignment(); setValues(); setVerticalAlignment(); setWrapStrategy(),None detected,None detected,try/catch,logBestEffortWarning_,"Low (LOC 40, branches 5)"
applyColumnWidths_,5105,5114,Formatter; Internal/private,Implement apply column widths,Shared framework utilities,applyColumnWidthsInRuns_,applyTemplateBaseFormatting_; applyUniversalFastCanvasFormatting_; formatMonthlyChangeReportSectionSheet_,RFF_DEFAULTS; applyColumnWidthsInRuns_,None detected,None detected,RFF_DEFAULTS,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 10, branches 0)"
applyColumnWidthsInRuns_,5116,5150,Formatter; Internal/private,Implement apply column widths in runs,Shared framework utilities,logBestEffortWarning_,applyColumnWidths_; applyTemplateColumnWidths_; createMasterListSheetFromTemplate_,logBestEffortWarning_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,try/catch,logBestEffortWarning_,"Low (LOC 35, branches 8)"
enforceTemplateDateAndNumberFormats_,5152,5155,Formatter; Internal/private,Implement enforce template date and number formats,Template governance,enforceDateAndNumberFormatsForHeaders_; getHeadersForSheetType_,buildTemplateFromDashboard_; repairAllTemplateDateFormats,enforceDateAndNumberFormatsForHeaders_; getHeadersForSheetType_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 4, branches 0)"
enforceDateAndNumberFormatsForHeaders_,5157,5212,Formatter; Internal/private,Implement enforce date and number formats for headers,Date/month utilities,getExpectedNumberFormat_; getGoogleSheetsNumberFormat_,enforceTemplateDateAndNumberFormats_,DATA_START_ROW; getExpectedNumberFormat_; getGoogleSheetsNumberFormat_,None detected,None detected,DATA_START_ROW,None detected,None detected,setNumberFormat(),None detected,None detected,try/catch,None detected,"Low (LOC 56, branches 9)"
getExpectedNumberFormat_,5214,5219,Formatter; Internal/private; Utility,Resolve or return expected number format,Shared framework utilities,None detected,enforceDateAndNumberFormatsForHeaders_; validateTemplateFromDashboard_,RFF_DEFAULTS,None detected,None detected,RFF_DEFAULTS,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 6, branches 2)"
getGoogleSheetsNumberFormat_,5221,5238,Formatter; Internal/private; Utility,Resolve or return google sheets number format,Sheet utilities,isDateFormatText_,enforceDateAndNumberFormatsForHeaders_; validateTemplateFromDashboard_,isDateFormatText_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 18, branches 6)"
isDateFormatText_,5240,5243,Formatter; Internal/private; Utility,Boolean test for date format text,Date/month utilities,None detected,getGoogleSheetsNumberFormat_,None detected,None detected,") !== -1 && text.indexOf(; ).toLowerCase();
  return text.indexOf(",None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 4, branches 0)"
applyHiddenColumnSettings_,5245,5253,Configuration; Internal/private,Implement apply hidden column settings,Shared framework utilities,applyHiddenColumnSettingsInRuns_,applyTemplateBaseFormatting_; applyUniversalFastCanvasFormatting_; formatMonthlyChangeReportSectionSheet_,applyHiddenColumnSettingsInRuns_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 9, branches 0)"
applyHiddenColumnSettingsInRuns_,5255,5289,Configuration; Internal/private,Implement apply hidden column settings in runs,Shared framework utilities,None detected,applyHiddenColumnSettings_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,try/catch,None detected,"Low (LOC 35, branches 7)"
applyDataRows_,5291,5315,Internal/private,Implement apply data rows,Shared framework utilities,applyAlternatingColorRules_; getThemeColorsFromBase_; markFrameworkStep_,applyTemplateBaseFormatting_,applyAlternatingColorRules_; getThemeColorsFromBase_; markFrameworkStep_,SpreadsheetApp,None detected,None detected,None detected,getRange(),setFontColor(); setFontSize(); setFontWeight(); setHorizontalAlignment(); setVerticalAlignment(); setWrapStrategy(),None detected,None detected,None explicit,markFrameworkStep_,"Low (LOC 25, branches 1)"
applyAlternatingColorRules_,5317,5342,Formatter; Internal/private,Implement apply alternating color rules,Shared framework utilities,logBestEffortWarning_,applyDataRows_,logBestEffortWarning_,SpreadsheetApp,None detected,None detected,None detected,None detected,setBackground(),None detected,None detected,try/catch,logBestEffortWarning_,"Low (LOC 26, branches 2)"
applyMonthlyChangeSpacerRow3Format_,5344,5372,Formatter; Internal/private,Implement apply monthly change spacer row3 format,Monthly Change,logBestEffortWarning_; safeSetRowHeights_,formatMonthlyChangeSubsectionBlock_,logBestEffortWarning_; safeSetRowHeights_,None detected,Monthly Change row 3 spacer formatting skipped: ; Monthly Change spacer fallback skipped: ; Monthly Change subsection spacer fallback; Monthly Change subsection spacer row 3 format,None detected,Monthly Change subsection spacer fallback; Monthly Change subsection spacer row 3 format,getRange(),copyTo(); setBackground(); setFontColor(); setFontSize(),clearContent(),None detected,try/catch,logBestEffortWarning_,"Low (LOC 29, branches 3)"
formatMonthlyChangeSubsectionBlock_,5374,5418,Formatter; Internal/private,Format monthly change subsection block,Monthly Change,applyMonthlyChangeSpacerRow3Format_; getHeadersForSheetType_; getThemeColorsFromBase_,formatMonthlyChangeSubsectionBlock,SHEET_TYPE; applyMonthlyChangeSpacerRow3Format_; getHeadersForSheetType_; getThemeColorsFromBase_,SpreadsheetApp,MONTHLY_CHANGE; SHEET_TYPE,SHEET_TYPE,None detected,getRange(),setBackground(); setFontColor(); setFontSize(); setFontWeight(); setHorizontalAlignment(); setValue(); setValues(); setVerticalAlignment(); setWrapStrategy(),None detected,None detected,None explicit,None detected,"Low (LOC 45, branches 3)"
writeTemplateMetadata_,5420,5436,Formatter; Internal/private,Implement write template metadata,Template governance,logBestEffortWarning_,buildTemplateFromDashboard_; refreshTemplateMetadataOnly_,RFF_DASHBOARD_SHEET; logBestEffortWarning_,None detected,Sheet Type: ; Template Version: ; Template metadata skipped for ; RFF_DASHBOARD_SHEET,RFF_DASHBOARD_SHEET,None detected,getRange(),None detected,None detected,None detected,try/catch,logBestEffortWarning_,"Low (LOC 17, branches 2)"
buildTemplateFormatSignature_,5438,5469,Formatter; Internal/private,Build template format signature,Template governance,boolText_; compactTemplateFormatSignature_; normalizeHeader_,createOrRefreshTemplateFromDashboard_; validateTemplateFromDashboard_,RFF_DEFAULTS; boolText_; compactTemplateFormatSignature_; normalizeHeader_,None detected," + JSON.stringify(dashboard.titleRows || {}),
    ; ));
  });


  return compactTemplateFormatSignature_(parts.join(; sheetType=",RFF_DEFAULTS," + JSON.stringify(dashboard.titleRows || {}),
    ",None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 32, branches 0)"
compactTemplateFormatSignature_,5471,5483,Formatter; Internal/private,Implement compact template format signature,Template governance,computeStableHash_,buildTemplateFormatSignature_,RFF_TEMPLATE_SIGNATURE_MAX_CHARS; computeStableHash_,None detected,RFF_TEMPLATE_SIGNATURE_MAX_CHARS,RFF_TEMPLATE_SIGNATURE_MAX_CHARS,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 13, branches 1)"
normalizeTemplateFormatSignature_,5485,5492,Formatter; Internal/private; Utility,Implement normalize template format signature,Template governance,None detected,createOrRefreshTemplateFromDashboard_; validateTemplateFromDashboard_,None detected,None detected,).indexOf(,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 8, branches 0)"
getTemplateFormatSignatureKey_,5494,5498,Formatter; Internal/private; Utility,Resolve or return template format signature key,Template governance,None detected,getStoredTemplateFormatSignature_; storeTemplateFormatSignature_,RFF_TEMPLATE_SIGNATURE_,None detected,RFF_TEMPLATE_SIGNATURE_; RFF_TEMPLATE_SIGNATURE_,RFF_TEMPLATE_SIGNATURE_,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 5, branches 0)"
getStoredTemplateFormatSignature_,5500,5507,Formatter; Internal/private; Utility,Resolve or return stored template format signature,Template governance,getTemplateFormatSignatureKey_; logBestEffortWarning_,createOrRefreshTemplateFromDashboard_; validateTemplateFromDashboard_,getTemplateFormatSignatureKey_; logBestEffortWarning_,PropertiesService, + sheetDef.templateName + ,None detected,None detected,getProperty(),None detected,None detected,None detected,try/catch,logBestEffortWarning_,"Low (LOC 8, branches 2)"
getStoredTemplateFormatSignatureFromSheet_,5509,5527,Formatter; Internal/private; Utility,Resolve or return stored template format signature from sheet,Template governance,logBestEffortWarning_,createOrRefreshTemplateFromDashboard_; ensureDashboardQualitySheetShellForWorkflow_; validateTemplateFromDashboard_,logBestEffortWarning_,None detected,Template signature note read skipped for ,None detected,None detected,getLastColumn(); getRange(),None detected,None detected,None detected,try/catch,logBestEffortWarning_,"Low (LOC 19, branches 5)"
storeTemplateFormatSignature_,5529,5535,Formatter; Internal/private; Utility,Implement store template format signature,Template governance,getTemplateFormatSignatureKey_; logBestEffortWarning_,buildTemplateFromDashboardSafely_; buildTemplateFromDashboard_; refreshTemplateMetadataOnly_,getTemplateFormatSignatureKey_; logBestEffortWarning_,PropertiesService, + sheetDef.templateName + ,None detected,None detected,None detected,setProperty(),None detected,None detected,try/catch,logBestEffortWarning_,"Low (LOC 7, branches 2)"
ensureTemplateFilter_,5537,5584,Formatter; Internal/private,Implement ensure template filter,Template governance,logBestEffortWarning_; markFrameworkStep_,applyTemplateBaseFormatting_,RFF_FAST_TEMPLATE_REFRESH; logBestEffortWarning_; markFrameworkStep_,None detected,Template filter comparison skipped for ; Template filter creation skipped for ; Template filter lookup skipped for ; Template filter removal skipped for ; RFF_FAST_TEMPLATE_REFRESH,RFF_FAST_TEMPLATE_REFRESH,None detected,getFilter(); getRange(),None detected,remove(),None detected,try/catch,markFrameworkStep_; logBestEffortWarning_,"Low (LOC 48, branches 10)"
applyTemplateFreezeAndTabColor_,5586,5622,Formatter; Internal/private,Implement apply template freeze and tab color,Template governance,getThemeColorsFromBase_; logBestEffortWarning_; markFrameworkStep_,applyDashboardTemplateFormattingToActiveReportSheet_; buildTemplateFromDashboard_,RFF_FAST_TEMPLATE_REFRESH; getThemeColorsFromBase_; logBestEffortWarning_; markFrameworkStep_,None detected,RFF_FAST_TEMPLATE_REFRESH,RFF_FAST_TEMPLATE_REFRESH,None detected,getFrozenColumns(); getFrozenRows(),setFrozenColumns(); setFrozenRows(); setTabColor(),None detected,None detected,try/catch,markFrameworkStep_; logBestEffortWarning_,"Low (LOC 37, branches 9)"
resizeSheetGrid_,5624,5655,Internal/private,Implement resize sheet grid,Sheet utilities,clearSheetDimensionCacheForSheet_; getSheetDimensions_,applyDashboardTemplateFormattingToActiveReportSheet_; buildMonthlyChangeReportSectionLayout_; buildTemplateFromDashboard_; createActiveDemoPFromRawData_; createIndexSheet; createMasterListSheetFromTemplate_; createOutputSheetFromDashboardTemplate_; createRawDataOutputSheetFromTemplateFast_; createTemplateFromScriptDefaultsForActiveBuild_; ensureGoldenMasterTemplate_; populateMonthlyChangeReportSections_; rebuildProductionMonthlyChangeTemplate,clearSheetDimensionCacheForSheet_; getSheetDimensions_,None detected,None detected,None detected,None detected,None detected,insertColumnsAfter(); insertRowsAfter(),deleteColumns(); deleteRows(),None detected,None explicit,None detected,"Low (LOC 32, branches 6)"
